bound,rustsat,pysat,open-wbo
1,1194,47339,1494
10,4499,47339,4853
20,7443,47339,7952
30,10063,47339,10827
40,12455,47339,13574
50,14595,47339,16169
60,16535,47339,18664
70,18275,47339,21059
80,19791,47339,23330
90,21091,47339,25485
100,22191,47339,27540
110,23091,47339,29495
120,23791,47339,31350
130,24291,47339,33105
140,24591,47339,34760
150,24689,47339,36313
160,24549,47339,37748
170,24209,47339,39083
180,23669,47339,40318
190,22929,47339,41453
200,21989,47339,42488
210,20849,47339,43423
220,19509,47339,44258
230,17949,47339,44993
240,16169,47339,45628
250,14189,47339,46163
260,12009,47339,46598
270,9569,47339,46933
280,6909,47339,47168
290,3909,47339,47303
299,300,1,47339
